rowsCount,columnsCount,minesCount,time
9,9,1,00:00:15
9,9,3,00:00:11
9,9,5,00:00:33
9,9,1,00:00:00
9,9,1,00:00:00
9,9,1,00:00:02
9,9,5,00:00:39
9,9,5,00:00:42
9,9,5,00:00:34
9,9,5,00:00:12
9,9,10,00:02:17
9,9,10,00:01:28
9,9,10,00:01:58
9,9,10,00:01:10
9,9,10,00:01:11
24,30,99,00:15:44
9,9,10,00:01:11
9,9,10,00:01:32
9,9,10,00:01:19
9,9,10,00:01:09
9,9,10,00:01:21
16,16,40,00:06:20
9,9,10,00:01:10
9,9,10,00:02:11
9,9,10,00:02:20
9,9,10,00:02:05
9,9,10,00:01:10
9,9,10,00:01:13
9,9,10,00:00:56
9,9,10,00:03:08
9,9,10,00:01:04
9,9,10,00:00:50
9,9,10,00:01:16
2,2,1,00:00:52
9,9,10,00:00:49
9,9,10,00:01:41
9,9,10,00:01:57
9,9,10,00:01:18
9,9,10,00:00:57
9,9,10,00:01:36
9,9,10,00:05:31
9,9,10,00:01:01
9,9,10,00:01:19
9,9,10,00:01:21
9,9,10,00:01:02
9,9,10,00:01:28
9,9,10,00:01:09
9,9,10,00:00:43
9,9,10,00:00:53
9,9,10,00:00:58
9,9,10,00:00:54
9,9,10,00:00:58
9,9,10,00:00:53
9,9,10,00:01:28
9,9,10,00:01:09
9,9,10,00:00:46
9,9,10,00:00:29
16,16,40,00:05:40
9,9,10,00:01:15
24,30,10,00:00:09
9,9,10,00:00:53
9,9,10,00:00:58
9,9,10,00:02:19
9,9,10,00:00:50
9,9,10,00:01:12
9,9,10,00:01:10
24,30,10,00:00:00
24,30,10,00:00:00
24,30,10,00:00:09
24,30,10,00:00:05
24,30,10,00:00:08
9,9,10,00:00:29
24,30,10,00:00:02
24,30,10,00:00:18
9,9,10,00:01:04
24,30,10,00:00:00
9,9,10,00:00:59
9,9,10,00:00:53
9,9,10,00:01:27
24,30,10,00:00:06
9,9,10,00:00:36
9,9,10,00:01:10
24,30,10,00:00:09
9,9,10,00:00:48
9,9,10,00:00:52
9,9,10,00:00:47
9,9,10,00:00:56
9,9,10,00:00:54
24,30,10,00:00:03
9,9,10,00:01:13
16,16,40,00:04:38
9,9,10,00:01:32
